station_id,station_name,longitude,latitude
176,"Gloucester Terrace, Bayswater",-0.188099,51.5179
177,"Ashley Place, Victoria",-0.140948,51.4962
178,"Warwick Square, Pimlico",-0.141924,51.4899
180,"North Audley Street, Mayfair",-0.153645,51.5129
181,"Belgrave Square, Belgravia",-0.152318,51.4994
182,"Bell Street, Marylebone",-0.16584300000000002,51.522
183,"Riverlight North, Nine Elms",-0.136124,51.4824
184,"Portland Place, Marylebone",-0.14521199999999998,51.5207
185,"Alderney Street, Pimlico",-0.140741,51.4881
186,"South Wharf Road, Paddington",-0.175811,51.5173
187,"Queen's Gate (South), South Kensington",-0.17843299999999998,51.4925
188,"Nutford Place, Marylebone",-0.164394,51.5165
189,"Claremont Square, Angel",-0.10991500000000001,51.5317
190,"Rampayne Street, Pimlico",-0.132846,51.49
191,"Hyde Park Corner, Hyde Park",-0.153521,51.5031
192,"Wardour Street, Soho",-0.133202,51.5125
193,"Bankside Mix, Bankside",-0.100186,51.5058
194,"Hop Exchange, The Borough",-0.0917738,51.5046
195,"Milroy Walk, South Bank",-0.10623800000000001,51.5072
196,"Union Street, The Borough",-0.0984977,51.5037
197,"Stamford Street, South Bank",-0.111607,51.5056
199,"Great Tower Street, Monument",-0.08298960000000001,51.5105
200,"LMU Commercial Road, Whitechapel",-0.066078,51.5149
201,"Dorset Square, Marylebone",-0.161113,51.5226
202,"Leman Street, Aldgate",-0.06954199999999999,51.5124
203,"West Smithfield Rotunda, Farringdon",-0.10079099999999999,51.5182
204,"Margery Street, Clerkenwell",-0.11243299999999999,51.5266
206,"New Road 1, Whitechapel",-0.06275,51.5181
207,"Grosvenor Crescent, Belgravia",-0.153195,51.5014
208,"Mallory Street, Marylebone",-0.166304,51.5251
209,"Denyer Street, Knightsbridge",-0.165101,51.4936
210,"Hinde Street, Marylebone",-0.151926,51.5168
211,"Cadogan Place, Knightsbridge",-0.158106,51.4946
212,"Campden Hill Road, Notting Hill",-0.199004,51.5066
213,"Wellington Arch, Hyde Park",-0.149569,51.5027
214,"Endsleigh Gardens, Euston",-0.130504,51.5268
215,"Moorfields, Moorgate",-0.08828539999999999,51.5191
216,"Old Brompton Road, South Kensington",-0.18119100000000002,51.4909
217,"Wormwood Street, Liverpool Street",-0.08242239999999999,51.5162
218,"St. Luke's Church, Chelsea",-0.170194,51.4897
219,"Bramham Gardens, Earl's Court",-0.190394,51.4902
220,"Chelsea Green, Chelsea",-0.166485,51.4907
221,"Horseferry Road, Westminster",-0.130459,51.4948
222,"Knightsbridge, Hyde Park",-0.15535,51.5028
223,"Rodney Road, Walworth",-0.09022089999999999,51.4915
224,"Queensway, Westminster",-0.1874024,51.51031
225,"Notting Hill Gate Station, Notting Hill",-0.196422,51.5094
226,"Charles II Street, West End",-0.131961,51.5084
227,"Great Percy Street, Clerkenwell",-0.115481,51.5289
228,"St. James's Square, St. James's",-0.134621,51.5074
229,"Whitehall Place, Strand",-0.12318,51.5065
230,"Poured Lines, Bankside",-0.10313699999999999,51.5067
231,"Queen's Gate (Central), South Kensington",-0.178732,51.494
232,"Carey Street, Holborn",-0.11275299999999999,51.515
233,"Pall Mall East, West End",-0.1307,51.5078
234,"Liverpool Road (N1 Centre), Angel",-0.106993,51.5345
235,"Kennington Road, Vauxhall",-0.11088900000000002,51.4957
236,"Fashion Street, Whitechapel",-0.07343889999999999,51.5184
237,"Dock Street, Wapping",-0.06717639999999998,51.5084
238,"Frampton Street, Paddington",-0.17511600000000002,51.5234
239,"Warren Street Station, Euston",-0.138019,51.5244
240,"Colombo Street, Southwark",-0.10569200000000001,51.5055
242,"Beaumont Street, Marylebone",-0.151359,51.522
243,"Gloucester Street, Pimlico",-0.139625,51.49100000000001
244,"Earnshaw Street, Covent Garden",-0.12858499999999998,51.5161
245,"Grosvenor Road, Pimlico",-0.142207,51.4854
246,"Berry Street, Clerkenwell",-0.0999941,51.5229
247,"St. John's Wood Church, The Regent's Park",-0.16831400000000002,51.5301
248,"Triangle Car Park, Hyde Park",-0.17028,51.5065
249,"Harper Road, The Borough",-0.0961911,51.4986
250,"Royal Avenue 1, Chelsea",-0.162727,51.4899
251,"Brushfield Street, Liverpool Street",-0.079249,51.5189
252,"Jubilee Gardens, South Bank",-0.116542,51.5046
253,"Shoreditch Park, Hoxton",-0.0863797,51.534
254,"Chadwell Street, Angel",-0.10640799999999999,51.5305
255,"Clifton Road, Maida Vale",-0.179593,51.5256
256,"Houghton Street, Strand",-0.116764,51.5136
257,"Westminster University, Marylebone",-0.154907,51.5225
258,"Kensington Gore, Knightsbridge",-0.17865699999999998,51.5014
259,"Bourne Street, Belgravia",-0.123248,51.5049
260,"Broadwick Street, Soho",-0.135581,51.5137
261,"Princes Square, Bayswater",-0.191351,51.5135
262,"LSBU (Borough Road), Elephant & Castle",-0.10313299999999999,51.4987
263,"St. Mary Axe, Aldgate",-0.08066010000000001,51.5142
264,"Tysoe Street, Clerkenwell",-0.10925699999999999,51.5264
265,"Southwick Street, Paddington",-0.169249,51.516000000000005
266,"Queen's Gate (North), Kensington",-0.18024600000000002,51.501000000000005
267,"Regency Street, Westminster",-0.132225,51.4921
268,"Belgrave Road, Victoria",-0.14413299999999998,51.4932
269,"Empire Square, The Borough",-0.0897408,51.5008
270,"Kennington Lane Rail Bridge, Vauxhall",-0.122492,51.4863
271,"London Zoo, The Regent's Park",-0.15628499999999998,51.5358
272,"Baylis Road, Waterloo",-0.110699,51.5014
273,"Belvedere Road 1, South Bank",-0.114686,51.5061
274,"Warwick Road, Olympia",-0.20528400000000002,51.4967
275,"Barbican Centre, Barbican",-0.09217639999999999,51.52
276,"Lower Thames Street, Monument",-0.08498539999999999,51.5093
277,"Kensington Church Street, Kensington",-0.191496,51.5032
278,"Tooley Street, Bermondsey",-0.079621,51.5035
279,"North Wharf Road, Paddington",-0.176646,51.5186
280,"Royal Avenue 2, Chelsea",-0.162727,51.4899
281,"Smith Square, Westminster",-0.127575,51.4958
282,"Royal London Hospital, Whitechapel",-0.059642099999999997,51.5191
283,"Kingsway, Covent Garden",-0.118479,51.5144
284,"Lambeth North Station, Waterloo",-0.11203099999999999,51.4991
286,"St. John's Wood Road, St. John's Wood",-0.174654,51.5273
287,"Bedford Way, Bloomsbury",-0.128378,51.5237
288,"Elizabeth Bridge, Victoria",-0.147479,51.4924
289,"South Audley Street, Mayfair",-0.151296,51.5092
290,"St Mary's Hospital, Westminster",-0.1711032,51.518268
291,"Claverton Street, Pimlico",-0.13808900000000002,51.4848
292,"Montpelier Street, Knightsbridge",-0.165472,51.4989
293,"Kensington Olympia Station, Olympia",-0.209494,51.4982
294,"St. George's Square, Pimlico",-0.13563599999999998,51.4882
295,"Swan Street, The Borough",-0.09276269999999999,51.5003
296,"Knaresborough Place, Earl's Court",-0.190603,51.4936
297,"Geraldine Street, Elephant & Castle",-0.106001,51.4961
298,"Curlew Street, Shad Thames",-0.0741892,51.5023
299,"Vincent Square, Westminster",-0.136929,51.494
300,"Serpentine Car Park, Hyde Park",-0.17273,51.505
301,"Marylebone Lane, Marylebone",-0.148105,51.5148
302,"Putney Pier, Wandsworth",-0.21657300000000002,51.4669
303,"Albert Gate, Hyde Park",-0.15845599999999999,51.503
305,"Kennington Lane Tesco, Vauxhall",-0.115854,51.4868
306,"Rathbone Street, Fitzrovia",-0.135026,51.5182
307,"Black Lion Gate, Kensington Gardens",-0.187843,51.5099
308,"Long Lane, Bermondsey",-0.0856663,51.4991
309,"Embankment (Savoy), Strand",-0.119048,51.5096
310,"Black Prince Road, Vauxhall",-0.11691199999999999,51.4909
311,"Foley Street, Fitzrovia",-0.140486,51.5192
312,"Grove End Road, St. John's Wood",-0.176771,51.5309
313,"Wells Street, Fitzrovia",-0.138073,51.5173
314,"Tyers Gate, Bermondsey",-0.0831594,51.5009
315,"The Tennis Courts, The Regent's Park",-0.15346400000000002,51.5254
316,"Warwick Row, Westminster",-0.1429606,51.497997999999995
317,"Dickens Square, Borough",-0.0939135,51.4968
318,"Sackville Street, Mayfair",-0.138846,51.51
319,"Baldwin Street, St. Luke's",-0.0885428,51.527
320,"Queen Mother Sports Centre, Victoria",-0.139956,51.4936
321,"Bermondsey Street, Bermondsey",-0.081608,51.4979
322,"Palissy Street, Shoreditch",-0.07395499999999999,51.5263
323,"Clifton Street, Shoreditch",-0.083067,51.5232
324,"Ontario Street, Elephant & Castle",-0.101384,51.4965
325,"St. Martin's Street, West End",-0.129698,51.5091
326,"Graham Street, Angel",-0.0999811,51.5327
327,"New North Road 1, Hoxton",-0.086016,51.5311
328,"New North Road 2, Hoxton",-0.086016,51.5311
329,"Prince Albert Road, The Regent's Park",-0.160854,51.5359
330,"Eastbourne Mews, Paddington",-0.179135,51.5164
331,"Bunhill Row, Moorgate",-0.08988789999999999,51.5209
332,"Nevern Place, Earl's Court",-0.194758,51.4933
333,"Palace Gardens Terrace, Notting Hill",-0.19376400000000002,51.5086
334,"Concert Hall Approach 1, South Bank",-0.115851,51.505
335,"Tavistock Street, Covent Garden",-0.120719,51.512
336,"Concert Hall Approach 2, South Bank",-0.115851,51.505
337,"Pembridge Villas, Notting Hill",-0.197525,51.5111
338,"Wellington Street, Strand",-0.11964300000000001,51.5118
339,"Risinghill Street, Angel",-0.11178099999999999,51.5333
340,"Bank of England Museum, Bank",-0.0875874,51.5144
341,"Craven Street, Strand",-0.126021,51.5081
343,"London Zoo Car Park, The Regent's Park",-0.15018099999999998,51.5369
344,"Goswell Road (City Uni), Finsbury",-0.101026,51.5282
345,"Flood Street, Chelsea",-0.166879,51.488
347,"Lower Marsh, Waterloo",-0.113936,51.5001
348,"Grosvenor Square, Mayfair",-0.150481,51.5122
349,"St. George Street, Mayfair",-0.142783,51.512
350,"Queen's Gate, Kensington Gardens",-0.17985399999999999,51.5017
351,"Macclesfield Rd, St Lukes",-0.097122,51.5294
352,"Vauxhall Street, Vauxhall",-0.116625,51.486999999999995
353,"Greycoat Street, Westminster",-0.134234,51.4946
354,"Northumberland Avenue, Strand",-0.12370199999999999,51.5068
355,"Oval Way, Vauxhall",-0.11728599999999999,51.4866
356,"South Kensington Station, South Kensington",-0.173881,51.4944
357,"Howland Street, Fitzrovia",-0.139016,51.521
358,"High Holborn, Covent Garden",-0.124332,51.5164
359,"Butler Place, Westminster",-0.135441,51.4978
360,"Howick Place, Westminster",-0.138734,51.4968
361,"Waterloo Station 2, Waterloo",-0.113864,51.504
362,"Royal College Street, Camden Town",-0.133952,51.5363
363,"Lord's, St. John's Wood",-0.171185,51.5291
364,"Alfred Place, Bloomsbury",-0.132339,51.5197
365,"City Road, Angel",-0.100168,51.5303
366,"Millennium Hotel, Mayfair",-0.151126,51.5109
367,"Harrowby Street, Marylebone",-0.164208,51.5174
368,"Harriet Street, Knightsbridge",-0.159341,51.5002
370,"Paddington Green, Paddington",-0.174593,51.5202
371,"King Edward Walk, Waterloo",-0.10987999999999999,51.4978
